Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Efe Abogidi,GLI,28,4,0,48,6,14,0.429,0,0,0.3,6,14,0.429,0.429,0,2,0,3,10,13,4,0,0,3,10,12,
Jalen Adaway,AUS,27,11,2,234,26,61,0.426,7,23,0.304,19,38,0.5,0.484,3,7,0.429,7,16,23,11,4,4,3,16,63,
James Akinjo,WES,31,15,5,448,90,195,0.462,28,77,0.364,62,118,0.525,0.533,16,20,0.8,4,46,50,101,20,0,34,30,232,
Warith Alatishe,ONT,25,14,7,337,48,78,0.615,0,1,0,48,77,0.623,0.615,5,9,0.556,47,57,104,14,16,28,12,47,102,
Ty-Shon Alexander,GBO,24,16,0,257,39,77,0.506,27,54,0.5,12,23,0.522,0.682,4,4,1,2,29,31,23,5,3,17,10,112,
Rawle Alkins,SLC,25,19,16,508,74,159,0.465,16,48,0.333,58,111,0.523,0.516,25,34,0.735,33,95,128,71,17,16,35,44,201,
Jordan Allen,CLC,24,11,0,209,35,87,0.402,22,63,0.349,13,24,0.542,0.529,2,2,1,6,18,24,6,4,1,20,8,95,
Justin Anderson,FWN,26,18,18,688,143,294,0.486,41,116,0.353,102,178,0.573,0.556,53,67,0.791,14,87,101,106,25,18,55,30,408,
Moises Andriassi,MXC,24,5,0,51,4,13,0.308,3,12,0.25,1,1,1,0.423,0,0,,0,4,4,3,2,1,1,1,11,
EJ Anosike,SLC,24,3,0,33,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,7,4,11,3,0,3,3,3,8,
Alex Antetokounmpo,WIS,21,20,3,408,29,83,0.349,13,47,0.277,16,36,0.444,0.428,9,16,0.563,11,33,44,15,13,5,24,42,85,
Adonis Arms,GRG,29,20,17,541,96,216,0.444,23,76,0.303,73,140,0.521,0.498,36,43,0.837,17,106,123,64,27,10,37,31,278,
Joel Ayayi,LAK,22,18,1,446,41,95,0.432,14,46,0.304,27,49,0.551,0.505,10,16,0.625,20,70,90,70,29,3,29,36,114,
Yudai Baba,TEX,27,18,18,646,95,183,0.519,25,63,0.397,70,120,0.583,0.587,18,27,0.667,17,83,100,45,30,3,27,36,245,
Robert Baker,LAK,26,19,15,498,91,183,0.497,20,70,0.286,71,113,0.628,0.552,14,25,0.56,44,93,137,32,24,38,28,47,228,
Kamar Baldwin,MNE,28,19,19,620,119,230,0.517,40,89,0.449,79,141,0.56,0.604,11,14,0.786,19,64,83,92,35,9,32,37,297,
Patrick Baldwin Jr.,SCW,20,8,8,198,43,102,0.422,24,67,0.358,19,35,0.543,0.539,6,8,0.75,5,39,44,14,2,5,19,11,121,
LiAngelo Ball,GBO,24,3,0,35,3,12,0.25,1,9,0.111,2,3,0.667,0.292,0,1,0,0,3,3,0,1,0,1,3,7,
James Banks III,TEX,25,8,8,161,21,41,0.512,0,0,,21,41,0.512,0.512,5,8,0.625,20,32,52,20,5,14,14,29,50,
Dalano Banton,RAP,23,9,9,297,72,157,0.459,18,59,0.305,54,98,0.551,0.516,23,27,0.852,11,52,63,40,12,10,30,21,199,
Cat Barber,CPS,28,18,1,407,74,180,0.411,20,46,0.435,54,134,0.403,0.467,25,33,0.758,5,47,52,77,13,2,30,36,215,
Dominick Barlow,AUS,26,16,9,465,97,179,0.542,7,23,0.304,90,156,0.577,0.561,27,35,0.771,54,80,134,23,12,27,31,37,248,
Charles Bassey,AUS,22,10,10,299,101,147,0.687,6,16,0.375,95,131,0.725,0.707,10,15,0.667,36,55,91,24,9,15,26,24,226,
Paris Bass,WIS,27,16,7,428,113,217,0.521,28,65,0.431,85,152,0.559,0.585,33,45,0.733,39,76,115,22,15,14,25,48,309,
Justin Bean,MHU,25,18,8,459,73,142,0.514,21,54,0.389,52,88,0.591,0.588,20,24,0.833,39,78,117,22,16,13,19,21,201,
MarJon Beauchamp,WIS,22,2,1,56,10,26,0.385,2,13,0.154,8,13,0.615,0.423,5,5,1,0,9,9,1,2,1,3,5,30,
Jules Bernard,CCG,31,20,13,528,95,213,0.446,26,88,0.295,69,125,0.552,0.507,51,66,0.773,18,73,91,50,11,3,35,29,290,
Giorgi Bezhanishvili,CPS,24,20,10,543,87,137,0.635,1,7,0.143,86,130,0.662,0.639,22,37,0.595,42,80,122,42,7,9,35,60,217,
Buddy Boeheim,MCC,26,11,10,272,42,92,0.457,32,77,0.416,10,15,0.667,0.63,6,7,0.857,7,10,17,19,5,4,5,17,126,
Jordan Bohannon,IWA,26,17,4,343,36,98,0.367,32,86,0.372,4,12,0.333,0.531,9,11,0.818,12,35,47,23,8,4,4,33,115,
Marques Bolden,SLC,24,3,0,42,5,12,0.417,0,6,0,5,6,0.833,0.417,1,1,1,2,14,16,5,1,2,1,4,12,
Leandro Bolmaro,SLC,22,7,7,227,32,67,0.478,13,34,0.382,19,33,0.576,0.575,5,9,0.556,15,28,43,45,7,6,23,23,85,
Jordan Bone,WIS,25,18,17,604,18,247,0.457,37,104,0.356,76,143,0.531,0.532,29,37,0.784,5,72,77,94,18,2,43,26,311,
Gael Bonilla,MXC,19,13,0,145,16,38,0.421,1,7,0.143,15,31,0.484,0.434,3,3,1,14,21,35,9,4,3,6,11,39,
Brandon Boston Jr.,ONT,21,10,10,338,78,174,0.448,17,50,0.34,61,124,0.492,0.497,25,31,0.806,14,50,64,23,9,1,18,21,220,
James Bouknight,GBO,22,15,10,347,75,184,0.408,39,99,0.394,36,85,0.424,0.514,24,30,0.8,10,60,70,35,11,3,35,24,236,
Jamaree Bouyea,SXF,23,17,16,561,121,232,0.522,17,58,0.293,104,174,0.598,0.558,26,36,0.722,9,76,85,92,22,15,34,27,304,
Jordan Bowden,LIN,26,20,13,649,129,286,0.451,55,166,0.331,74,120,0.617,0.547,27,35,0.771,8,75,83,49,22,9,25,43,355,
Pedro Bradshaw,FWN,31,20,0,344,46,95,0.484,12,26,0.462,34,69,0.493,0.547,28,37,0.757,33,72,105,24,16,6,12,21,154,
Armoni Brooks,CPS,24,20,4,534,103,236,0.436,60,158,0.38,43,78,0.551,0.564,20,24,0.833,7,95,102,35,14,6,14,24,296,
Eli Brooks,FWN,26,15,11,382,36,86,0.419,16,42,0.381,20,44,0.455,0.512,10,15,0.667,12,72,84,53,6,1,17,18,102,
Garrison Brooks,WES,29,16,16,459,83,146,0.568,0,6,0,83,140,0.593,0.568,19,33,0.576,46,128,174,30,6,9,35,44,196,
Charlie Brown Jr.,DEL,25,18,4,418,78,149,0.523,26,72,0.361,52,77,0.675,0.611,21,24,0.875,21,79,100,31,29,12,25,37,220,
Chaundee Brown Jr.,AUS,24,9,8,264,41,97,0.423,8,32,0.25,33,65,0.508,0.464,9,9,1,13,35,48,14,4,0,17,12,105,
Gabe Brown,RAP,30,16,4,346,67,138,0.486,40,93,0.43,27,45,0.6,0.63,8,8,1,9,37,46,6,5,1,8,18,184,
Greg Brown III,ONT,21,4,1,108,18,48,0.375,7,25,0.28,11,23,0.478,0.448,12,16,0.75,8,12,20,6,4,8,7,16,63,
Jared Brownridge,DEL,28,14,2,261,33,91,0.363,26,65,0.4,7,26,0.269,0.505,3,6,0.5,5,24,29,23,5,1,12,20,97,
